id,Q2: How many ingredients would you expect this food item to contain?,Q4: How much would you expect to pay for one serving of this food item?,Label,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)_1","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)_2","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)_3","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)_4","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)_5",Q8: How much hot sauce would you add to this food item?_A little (mild),Q8: How much hot sauce would you add to this food item?_A lot (hot),Q8: How much hot sauce would you add to this food item?_A moderate amount (medium),Q8: How much hot sauce would you add to this food item?_I will have some of this food item with my hot sauce,At a party,Late night snack,Week day dinner,Week day lunch,Weekend dinner,Weekend lunch,Friends,Parents,Siblings,Strangers,Teachers,big_bucket,water,alcohol,soft_drink,tea,juice,soup
716549,6.0,5.0,Pizza,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,,0,0,1,0,0,0
715742,2.0,5.0,Pizza,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,,0,0,1,0,0,0
727333,5.0,10.0,Pizza,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,,0,0,1,0,0,0
606874,6.5,3.0,Pizza,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,,0,0,1,0,0,0
505318,3.0,5.0,Pizza,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,,0,0,1,0,0,0
605771,6.0,15.0,Pizza,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,,0,0,1,0,0,0
606929,3.5,1.0,Pizza,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,1,0,0,0
609789,4.5,20.0,Pizza,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,,0,0,1,0,0,0
644623,5.0,3.0,Pizza,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,0,0,1,0,0,0
626792,9.0,4.0,Pizza,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,,0,0,1,0,0,0
