rowID,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
0,3,6,"Week day lunch,At a party,Late night snack",5,Cloudy with a Chance of Meatballs,Coke ,Friends,A little (mild),Pizza
1,4,"bread, meet","Week day lunch,At a party,Late night snack",5$ for a large piece,All sort of american young boy movies,Coke,"Friends,Teachers,Strangers",None,Pizza
2,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10dollar,action movie,cola,Friends,A moderate amount (medium),Pizza
3,4,6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3,Mamma Mia,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
4,2,3 or more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,Cloudy with a chance of meatballs,Soda,"Siblings,Friends",A little (mild),Pizza
5,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,None,Soda,"Siblings,Friends",None,Pizza
6,3,about 3 or 4,Week day lunch,1,dragon,coke ,Friends,None,Pizza
7,4,4-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollar,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza
8,3,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Home Alone,Coca Cola,None,None,Pizza
9,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Cloudy with a chance of meatballs,Coke,"Parents,Siblings,Friends",A lot (hot),Pizza
10,3,10,"Weekend dinner,At a party",20,none,regular coke,Friends,None,Pizza
11,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 Canadian Dollars,The Big Lebowski,Ice Tea,"Parents,Friends",A little (mild),Pizza
12,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,Spider Man 2,lemonade,"Parents,Siblings,Friends",None,Pizza
13,4,"I think at least 4 ingredients, such as flour, tomato, cheese, and oil.","Weekend lunch,Weekend dinner,At a party",At most 30 CAD,Cloudy with a Chance of Meatballs ,Coke,Friends,None,Pizza
14,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,Goodfellas,Red Wine,"Siblings,Friends",A moderate amount (medium),Pizza
15,3,"5: Cheese, sauce, dough, meet, vegetables","Weekend lunch,Weekend dinner,At a party,Late night snack","One serving being two slices, I would expect to pay around $7",A Goofy Movie (the disney movie),Pop like Coke ,Friends,A little (mild),Pizza
16,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Dead Silence,Sprite,"Friends,Strangers",A moderate amount (medium),Pizza
17,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,la la land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
18,2,"21 (6 for the dough, 15 for the toppings)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$2 - $3

 ",Harry Potter & The Philosopher's Stone,Coke,Friends,None,Pizza
19,3,6,"Week day dinner,At a party",8 dollar,Transformer,Soup,Parents,None,Pizza
20,5,10,"Week day dinner,Weekend dinner,At a party,Late night snack",15,Ninja turtles ,Coke,"Siblings,Friends",None,Pizza
21,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00,High School Musical 3,Root beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
22,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,Despicable Me,Coke,"Friends,Teachers",None,Pizza
